trial_nr,word,wordstatus,response,rt,error
1, mensible, 0, 1, 0.8851879999999999, 1
2, scornful, 1, 1, 0.6547049999999999, 0
3, stoutly, 1, 0, 0.3149139999999999, 1
4, ablaze, 1, 0, 0.3430299999999997, 1
5, kermshaw, 0, 0, 0.53876399999999993, 0
6, moonlit, 1, 1, 0.47481099999999987, 0
7, lofty, 1, 1, 0.42314299999999996, 0
8, hurricane, 1, 1, 0.3658290000000006, 0
9, flaw, 1, 1, 0.5772250000000007, 0
10, alberation, 0, 0, 0.6616979999999995, 0
11, unkempt, 1, 0, 0.2289940000000001, 1
12, breeding, 1, 1, 0.44034899999999944, 0
13, festivity, 1, 1, 0.3430299999999997, 0
14, screech, 1, 1, 0.40291799999999967, 0
15, savoury, 1, 1, 0.5789570000000008, 0
16, plaudate, 0, 0, 0.7937570000000012, 0
17, shin, 1, 0, 0.6945830000000015, 1
18, fluid, 1, 1, 0.373660000000001, 0
19, spaunch, 0, 0, 0.7255639999999985, 0
20, allied, 1, 1, 0.2631369999999997, 0
21, slain, 1, 1, 0.63912600000000026, 0
22, recipient, 1, 1, 0.5674339999999987, 0
23, exprate, 0, 0, 0.671716, 0
24, eloquence, 1, 1, 0.55715000000000217, 0
25, cleanliness, 1, 1, 0.3430299999999997, 0
26, dispatch, 1, 1, 1.484523000000003, 0
27, rebondicate, 0, 0, 0.8344479999999983, 0
28, ingenious, 1, 1, 0.5695649999999972, 0
29, bewitch, 1, 1, 0.6071619999999989, 0
30, skave, 0, 0, 0.5798040000000029, 0
31, plaintively, 1, 1, 0.6849319999999999, 0
32, kilp, 0, 0, 0.4618009999999977, 0
33, interfate, 0, 1, 0.4545560000000002, 1
34, hasty, 1, 1, 0.37497499999999917, 0
35, lengthy, 1, 1, 0.44542200000000065, 0
36, fray, 1, 1, 0.41007899999999964, 0
37, crumper, 0, 0, 0.6000729999999983, 0
38, upkeep, 1, 1, 0.4422309999999996, 0
39, majestic, 1, 1, 0.5213100000000033, 0
40, magrity, 0, 0, 0.5209790000000041, 0
41, nourishment, 1, 1, 0.4832439999999991, 0
42, abergy, 0, 0, 0.5608119999999985, 0
43, proom, 0, 1, 0.411408999999999, 1
44, turmoil, 1, 1, 0.3802820000000011, 0
45, carbohydrate, 1, 0, 0.4865910000000042, 1
46, scholar, 1, 1, 0.3640410000000003, 0
47, turtle, 1, 0, 0.5267980000000065, 1
48, fellick, 0, 1, 0.41659100000000393, 1
49, destription, 0, 1, 0.502754000000003, 1
50, cylinder, 1, 1, 0.51752699999999976, 0
51, censorship, 1, 0, 0.6263920000000013, 1
52, celestial, 1, 1, 0.7875159999999951, 0
53, rascal, 1, 1, 0.7127029999999962, 0
54, purrage, 0, 0, 0.5329000000000036, 0
55, pulsh, 0, 1, 0.5482330000000019, 1
56, muddy, 1, 1, 0.5314099999999996, 0
57, quirty, 0, 0, 0.8692540000000037, 0
58, pudour, 0, 1, 0.3927010000000024, 1
59, listless, 1, 1, 0.3175990000000013, 0
60, wrought, 1, 1, 0.2802210000000045, 0
